gender,race,years_experience,education,education_num,skill_score,interview_score,base_score,penalty,hire
Male,White,7.2,Bachelors,1,70.9,84.2,76.44000000000001,0.0,1
Male,White,10.3,HS,0,66.0,56.0,69.4,0.0,0
Male,Black,0.0,HS,0,80.3,55.6,54.36,-5.0,0
Male,White,3.4,Bachelors,1,63.7,72.7,61.36,0.0,0
Male,White,2.8,Masters,2,84.6,77.6,70.47999999999999,0.0,0
Male,White,7.2,Bachelors,1,53.0,66.4,62.160000000000004,0.0,0
Female,Hispanic,1.8,Masters,2,53.5,78.2,56.28000000000001,-2.0,0
Male,White,7.3,Masters,2,80.3,61.5,71.32,0.0,0
Male,White,9.1,Bachelors,1,68.7,44.6,63.52000000000001,0.0,0
Female,Hispanic,7.1,HS,0,63.2,64.9,65.44000000000001,-2.0,1
Male,White,5.9,HS,0,83.4,70.8,73.48,0.0,1
Female,White,2.0,Masters,2,60.9,66.7,55.040000000000006,-2.0,0
Male,White,2.5,Bachelors,1,67.0,56.1,54.24,0.0,0
Female,White,8.7,Bachelors,1,91.0,48.2,73.08,-2.0,0
Female,Hispanic,7.3,Bachelors,1,93.1,63.8,77.36000000000001,-2.0,1
Male,White,4.9,Masters,2,93.6,80.8,79.55999999999999,0.0,0
Male,White,3.7,HS,0,65.8,85.1,67.76,0.0,0
Female,Hispanic,0.0,Bachelors,1,88.5,84.3,69.12,-2.0,0
Female,Hispanic,1.8,Bachelors,1,55.8,60.2,50.00000000000001,-2.0,0
Female,Hispanic,10.7,Bachelors,1,56.4,56.2,66.44000000000001,-2.0,0
Female,White,1.2,Masters,2,34.7,76.0,46.68,-2.0,0
Male,White,5.6,Bachelors,1,95.1,77.6,80.28,0.0,1
Male,Asian,8.0,Masters,2,57.0,74.8,68.72,0.0,1
Male,Hispanic,1.2,Bachelors,1,68.1,45.8,47.96,0.0,0
Female,White,5.6,Bachelors,1,56.3,59.6,57.56,-2.0,0
Female,White,7.8,Bachelors,1,80.4,69.6,75.6,-2.0,0
Male,White,5.0,Bachelors,1,64.4,75.8,66.08000000000001,0.0,0
Male,Asian,13.6,HS,0,50.4,79.2,79.04,0.0,1
Male,White,0.0,Bachelors,1,76.6,71.7,59.32000000000001,0.0,1
Male,White,8.2,Bachelors,1,48.5,74.0,65.4,0.0,1
Female,White,4.5,Bachelors,1,57.4,71.0,60.36,-2.0,0
Female,Black,7.3,Bachelors,1,38.4,78.2,61.24,-7.0,0
Female,Hispanic,6.3,Masters,2,48.6,73.8,61.56,-2.0,0
Male,White,2.8,Bachelors,1,72.7,70.8,63.00000000000001,0.0,0
Male,Hispanic,5.7,HS,0,40.5,66.8,54.32,0.0,1
Female,Asian,0.0,Bachelors,1,47.8,71.0,47.52,-2.0,0
Female,White,6.8,Masters,2,70.0,75.8,71.92,-2.0,0
Female,White,5.9,Masters,2,61.8,73.2,65.8,-2.0,1
Female,White,6.9,Bachelors,1,99.9,74.6,83.60000000000001,-2.0,1
Male,Hispanic,8.2,Masters,2,97.5,86.1,89.84,0.0,1
Female,Black,6.1,Bachelors,1,57.0,73.2,64.28,-7.0,1
Male,Black,5.4,Bachelors,1,78.4,62.2,67.04,-5.0,1
Male,Hispanic,2.4,Masters,2,81.2,80.6,69.52,0.0,1
Male,White,2.9,Masters,2,61.0,53.6,51.64,0.0,0
Male,Asian,8.6,Bachelors,1,47.6,57.0,59.040000000000006,0.0,1
Female,White,9.3,Masters,2,69.8,74.0,76.12,-2.0,1
Male,White,4.3,HS,0,67.4,76.2,66.04,0.0,0
Female,Black,5.1,Masters,2,63.5,55.1,57.64000000000001,-7.0,1
Female,Hispanic,2.3,Bachelors,1,76.6,65.4,61.400000000000006,-2.0,0
Male,White,8.5,Bachelors,1,58.7,62.7,65.56,0.0,1
Male,Hispanic,7.0,Bachelors,1,52.7,64.2,60.760000000000005,0.0,0
Female,Asian,10.8,Bachelors,1,71.6,81.3,82.76,-2.0,1
Male,White,2.4,Bachelors,1,75.8,78.5,66.52,0.0,1
Male,Asian,3.9,Bachelors,1,52.4,69.8,56.68000000000001,0.0,0
Male,White,5.7,HS,0,83.9,63.4,70.32000000000001,0.0,0
Male,White,6.9,Bachelors,1,43.4,53.8,52.67999999999999,0.0,0
Female,White,4.4,Bachelors,1,61.3,87.0,68.12,-2.0,1
Female,Hispanic,2.4,Bachelors,1,66.1,77.1,62.08,-2.0,0
Female,Black,7.6,Bachelors,1,60.5,61.5,64.0,-7.0,0
Female,White,7.2,Masters,2,61.5,78.6,70.44,-2.0,0
Female,White,2.3,Masters,2,98.1,69.2,71.52,-2.0,1
Male,Black,9.1,Masters,2,57.2,66.6,67.72,-5.0,1
Female,White,8.5,Bachelors,1,100.0,75.2,87.08,-2.0,1
Female,Hispanic,5.4,Masters,2,76.6,61.1,65.88,-2.0,0
Female,Hispanic,5.2,Bachelors,1,71.4,65.9,65.32000000000001,-2.0,0
Female,White,6.7,HS,0,77.1,71.5,72.84,-2.0,1
Male,Asian,2.4,Bachelors,1,100.0,64.0,70.39999999999999,0.0,0
Male,White,5.1,Masters,2,55.1,78.0,63.44000000000001,0.0,0
Male,Asian,0.0,Bachelors,1,53.2,92.4,58.24,0.0,1
Male,Black,7.6,HS,0,58.7,60.9,63.040000000000006,-5.0,1
Female,Black,0.3,HS,0,70.5,50.0,48.800000000000004,-7.0,0
Female,White,9.5,Masters,2,44.1,46.0,55.040000000000006,-2.0,0
Male,Hispanic,4.0,Bachelors,1,70.3,68.2,63.400000000000006,0.0,1
Female,White,4.4,Bachelors,1,95.4,62.0,71.76,-2.0,0
Male,White,3.1,Bachelors,1,72.3,72.5,64.12,0.0,0
Male,White,4.1,Bachelors,1,65.6,71.6,63.08,0.0,0
Male,Black,9.3,Bachelors,1,60.7,50.8,63.2,-5.0,0
Male,White,0.0,Bachelors,1,83.5,48.2,52.68,0.0,0
Female,Black,8.8,Masters,2,57.6,73.6,70.08000000000001,-7.0,0
Male,Hispanic,6.0,Bachelors,1,97.7,71.6,79.72,0.0,1
Female,White,1.4,Bachelors,1,99.0,64.9,68.36,-2.0,0
Female,Black,1.8,HS,0,73.9,50.1,53.20000000000001,-7.0,0
Male,White,10.0,Bachelors,1,69.8,75.7,78.2,0.0,1
Female,Hispanic,2.2,Bachelors,1,85.5,85.3,72.72,-2.0,1
Female,Hispanic,1.5,Bachelors,1,86.4,73.3,66.88,-2.0,1
Male,White,8.4,HS,0,57.9,59.8,63.879999999999995,0.0,1
Male,Black,6.0,Masters,2,62.1,70.5,65.04,-5.0,1
Male,White,2.2,Bachelors,1,50.2,53.6,45.92,0.0,0
Male,White,5.6,Bachelors,1,76.1,82.7,74.72,0.0,1
Male,Hispanic,1.9,Masters,2,80.0,71.0,64.2,0.0,0
Female,White,8.3,Bachelors,1,49.8,48.8,56.04,-2.0,0
Female,White,8.2,Masters,2,63.2,66.4,68.24000000000001,-2.0,0
Male,White,6.6,Bachelors,1,49.8,75.6,63.36,0.0,1
Male,Hispanic,6.1,Bachelors,1,56.5,66.0,61.2,0.0,1
Female,White,10.3,Masters,2,78.3,66.7,78.6,-2.0,0
Male,White,5.0,Bachelors,1,59.0,55.3,55.72,0.0,0
Male,Black,1.5,Bachelors,1,65.5,76.8,59.92,-5.0,1
Male,Hispanic,6.3,Masters,2,45.6,62.2,55.720000000000006,0.0,1
Female,White,11.3,Bachelors,1,72.8,44.1,69.36000000000001,-2.0,0
Male,White,2.0,Bachelors,1,69.3,65.5,57.92,0.0,1
Female,White,3.9,Bachelors,1,59.1,81.8,64.16,-2.0,0
Female,White,6.2,Masters,2,67.2,65.4,65.44000000000001,-2.0,0
Male,White,4.8,Masters,2,72.7,90.9,75.04000000000002,0.0,0
Female,Black,2.1,Bachelors,1,57.8,75.1,57.36,-7.0,0
Male,Black,8.4,Bachelors,1,47.9,74.1,65.6,-5.0,0
Female,Black,12.0,Masters,2,97.1,68.5,90.24000000000001,-7.0,1
Female,White,5.6,HS,0,60.5,69.2,63.08000000000001,-2.0,1
Female,Hispanic,2.3,Bachelors,1,68.5,66.8,58.720000000000006,-2.0,0
Male,White,0.4,Masters,2,85.2,66.4,61.440000000000005,0.0,1
Female,Asian,5.8,Masters,2,100.0,76.4,82.16,-2.0,1
Male,Black,8.3,Masters,2,51.3,58.8,60.64,-5.0,0
Male,White,6.4,Bachelors,1,76.7,57.1,66.32000000000001,0.0,0
Male,Black,5.0,HS,0,59.4,56.5,56.36,-5.0,0
Female,White,3.2,Bachelors,1,61.9,94.5,68.96000000000001,-2.0,0
Female,Black,1.7,Bachelors,1,59.2,76.4,57.64000000000001,-7.0,0
Male,White,7.5,Bachelors,1,53.1,73.7,65.72,0.0,0
Female,White,7.7,Masters,2,69.4,57.3,66.08000000000001,-2.0,0
Male,Hispanic,0.4,HS,0,47.9,77.5,50.959999999999994,0.0,0
Female,White,9.8,Masters,2,84.2,68.6,80.72,-2.0,1
Male,Hispanic,6.7,Bachelors,1,70.8,72.6,70.76,0.0,1
Female,White,9.2,Bachelors,1,76.3,58.3,72.24000000000001,-2.0,1
Male,Black,1.0,HS,0,63.0,71.9,55.96000000000001,-5.0,0
Female,Black,0.9,Bachelors,1,64.5,64.9,53.56,-7.0,0
Male,White,4.6,HS,0,74.3,60.8,63.24,0.0,1
Male,White,6.5,PhD,3,52.5,78.8,65.52,0.0,1
Male,White,10.4,Masters,2,64.6,51.5,67.24,0.0,0
Female,White,7.1,Bachelors,1,57.1,76.8,67.76,-2.0,0
Female,White,4.3,Bachelors,1,56.6,78.2,62.52,-2.0,0
Male,Black,1.9,Masters,2,38.4,59.4,42.92,-5.0,0
Female,Asian,8.7,Bachelors,1,90.1,60.2,77.52000000000001,-2.0,1
Female,Hispanic,2.1,Bachelors,1,59.7,67.3,55.00000000000001,-2.0,0
Female,Hispanic,9.9,Bachelors,1,87.5,73.4,84.16,-2.0,0
Female,Hispanic,4.1,Masters,2,86.0,68.2,69.88,-2.0,1
Male,Black,9.8,HS,0,50.7,75.2,69.96000000000001,-5.0,1
Male,White,7.0,Bachelors,1,53.7,91.2,71.96000000000001,0.0,0
Female,Asian,4.6,Masters,2,100.0,63.9,74.76,-2.0,0
Female,Black,3.4,Bachelors,1,96.3,49.4,65.08,-7.0,0
Female,Black,4.0,HS,0,69.5,79.9,67.76,-7.0,0
Male,White,6.3,Bachelors,1,73.9,90.2,78.24000000000001,0.0,0
Male,White,5.2,Masters,2,60.5,74.7,64.48,0.0,1
Female,White,3.2,Bachelors,1,76.5,56.9,59.76,-2.0,1
Female,Hispanic,4.5,PhD,3,59.2,68.5,60.080000000000005,-2.0,0
Female,White,5.2,Bachelors,1,39.5,56.6,48.839999999999996,-2.0,0
Female,White,0.0,HS,0,50.2,77.7,51.160000000000004,-2.0,0
Female,Asian,6.4,PhD,3,70.3,53.8,62.44,-2.0,0
Male,White,2.1,Bachelors,1,53.0,66.4,51.96000000000001,0.0,0
Male,White,1.5,Bachelors,1,69.0,57.9,53.760000000000005,0.0,0
Female,White,0.0,Bachelors,1,53.9,71.5,50.160000000000004,-2.0,0
Female,Black,0.0,Bachelors,1,58.3,65.6,49.56,-7.0,0
Male,Asian,0.9,HS,0,82.8,72.1,63.75999999999999,0.0,1
Male,White,2.9,HS,0,73.7,70.3,63.400000000000006,0.0,0
Female,Hispanic,10.9,Bachelors,1,69.9,58.2,73.04,-2.0,1
Male,White,3.4,Masters,2,83.2,77.5,71.08,0.0,0
Male,Asian,5.5,Bachelors,1,77.2,69.4,69.64000000000001,0.0,1
Female,Hispanic,6.2,PhD,3,91.7,58.1,72.32000000000001,-2.0,0
Female,Hispanic,5.4,Bachelors,1,63.1,96.9,74.8,-2.0,0
Female,White,4.8,Bachelors,1,63.6,75.7,65.32,-2.0,1
Male,Asian,1.4,Bachelors,1,50.5,68.2,50.28,0.0,0
Female,Black,9.4,Bachelors,1,63.6,87.0,79.04,-7.0,0
Male,White,10.4,Bachelors,1,84.5,92.1,91.44,0.0,1
Male,Hispanic,0.0,Masters,2,89.5,68.3,63.120000000000005,0.0,1
Female,White,1.9,Masters,2,84.4,74.2,67.24000000000001,-2.0,0
Female,Hispanic,4.2,PhD,3,43.1,58.1,48.88,-2.0,1
Female,White,2.1,Bachelors,1,86.2,68.2,65.96000000000001,-2.0,0
Female,Black,6.5,Masters,2,42.4,67.6,57.0,-7.0,0
Female,White,2.8,Bachelors,1,83.5,72.2,67.88,-2.0,0
Male,White,11.5,HS,0,64.5,74.0,78.4,0.0,1
Male,White,8.6,Masters,2,80.5,76.7,80.08000000000001,0.0,1
Male,White,5.6,Bachelors,1,50.0,72.9,60.36000000000001,0.0,0
Male,White,8.1,Bachelors,1,87.6,55.5,73.44,0.0,1
Female,White,8.3,Bachelors,1,48.0,58.7,59.28000000000001,-2.0,1
Male,Black,3.3,Bachelors,1,60.0,63.4,55.96,-5.0,0
Female,White,2.6,Masters,2,55.0,66.6,53.84,-2.0,0
Female,White,5.2,Bachelors,1,43.7,82.6,60.919999999999995,-2.0,0
Female,Black,7.6,PhD,3,71.4,56.0,66.16000000000001,-7.0,0
Female,White,5.4,HS,0,97.1,65.7,75.92,-2.0,1
Female,Asian,0.3,Bachelors,1,100.0,81.4,73.16,-2.0,1
Male,Hispanic,2.6,Bachelors,1,71.5,66.4,60.36000000000001,0.0,0
Male,Black,4.8,Bachelors,1,86.8,75.5,74.52000000000001,-5.0,1
Female,Black,4.8,Bachelors,1,73.5,68.3,66.32,-7.0,0
Male,Hispanic,10.9,Masters,2,77.5,73.1,82.03999999999999,0.0,1
Male,White,0.8,Masters,2,64.9,67.3,54.48000000000001,0.0,0
Female,White,6.5,Masters,2,72.9,78.0,73.36000000000001,-2.0,0
Male,White,9.5,Masters,2,78.1,51.5,70.84,0.0,1
Female,Hispanic,11.8,Masters,2,61.3,65.6,74.36,-2.0,0
Female,White,3.8,Bachelors,1,68.8,73.6,64.55999999999999,-2.0,0
Female,Black,6.5,Masters,2,69.1,76.4,71.2,-7.0,0
Male,Asian,6.7,Bachelors,1,82.4,87.9,81.52000000000001,0.0,1
Male,Hispanic,5.6,Bachelors,1,54.0,65.3,58.92,0.0,0
Female,White,4.7,Bachelors,1,69.2,87.8,72.2,-2.0,1
Male,White,6.3,Bachelors,1,98.7,62.1,76.92000000000002,0.0,1
Female,Hispanic,0.0,Bachelors,1,87.5,85.9,69.36000000000001,-2.0,0
Female,Black,7.0,PhD,3,90.2,79.8,82.0,-7.0,0
Female,White,5.4,Bachelors,1,70.4,59.0,62.56,-2.0,1
Male,White,4.3,HS,0,74.8,73.7,68.0,0.0,0
Male,Asian,11.1,Bachelors,1,85.0,69.4,83.96000000000001,0.0,1
Female,Black,3.0,HS,0,93.4,77.5,74.36000000000001,-7.0,1
Male,Hispanic,3.8,HS,0,40.7,67.3,50.800000000000004,0.0,0
Male,Hispanic,11.0,Bachelors,1,50.3,66.3,68.64,0.0,0
Female,Black,2.5,Bachelors,1,89.6,86.4,75.4,-7.0,1
Female,White,3.3,Bachelors,1,65.8,68.8,60.440000000000005,-2.0,0
Female,White,4.6,Masters,2,59.9,79.9,65.12,-2.0,0
Female,White,7.5,Masters,2,51.2,67.3,62.400000000000006,-2.0,0
Male,White,5.6,Bachelors,1,61.7,90.0,71.88000000000001,0.0,1
Female,Hispanic,1.1,Bachelors,1,49.0,61.9,46.56,-2.0,0
Female,Black,3.4,Bachelors,1,100.0,62.6,71.84,-7.0,0
Male,Hispanic,3.2,Masters,2,69.7,88.3,69.60000000000001,0.0,1
Female,White,4.8,HS,0,69.1,64.7,63.120000000000005,-2.0,0
Female,Black,6.3,HS,0,78.8,89.2,79.80000000000001,-7.0,1
Female,Black,6.3,Masters,2,84.4,80.7,78.64000000000001,-7.0,1
Female,Black,0.0,Bachelors,1,84.2,68.1,60.92,-7.0,0
Female,Black,8.2,HS,0,86.1,48.2,70.12,-7.0,0
Male,White,5.8,Bachelors,1,60.5,69.8,63.720000000000006,0.0,1
Male,White,9.2,Masters,2,65.5,71.2,73.08000000000001,0.0,1
Female,White,6.3,Masters,2,81.5,84.0,78.80000000000001,-2.0,1
Female,White,8.3,Masters,2,62.1,89.1,77.08000000000001,-2.0,0
Female,White,6.4,Bachelors,1,69.9,61.8,65.48,-2.0,0
Female,Black,9.0,Bachelors,1,76.0,79.6,80.24000000000001,-7.0,0
Female,Asian,6.6,PhD,3,81.8,79.2,77.60000000000001,-2.0,1
Female,Black,4.7,PhD,3,43.3,82.9,59.88,-7.0,0
Female,Black,11.8,Bachelors,1,80.7,76.0,86.28,-7.0,1
Female,White,7.7,Masters,2,66.5,46.7,60.68,-2.0,0
Female,Black,6.7,Bachelors,1,80.6,68.1,72.88000000000001,-7.0,0
Female,White,1.2,Bachelors,1,81.7,56.1,57.52,-2.0,1
Female,White,1.1,Bachelors,1,94.1,67.6,66.88000000000001,-2.0,1
Male,White,5.9,Bachelors,1,90.3,81.8,80.64,0.0,1
Male,White,5.4,Masters,2,90.2,73.7,76.36,0.0,0
Male,White,3.2,HS,0,91.7,83.8,76.60000000000001,0.0,1
Female,White,5.4,Bachelors,1,74.4,74.1,70.2,-2.0,1
Male,White,9.8,Masters,2,70.5,54.4,69.56,0.0,0
Male,Asian,7.1,Masters,2,83.1,39.7,63.32000000000001,0.0,1
Female,White,1.6,Bachelors,1,81.0,71.8,64.32,-2.0,0
Male,White,4.7,Bachelors,1,65.4,67.4,62.52,0.0,0
Female,White,2.6,Bachelors,1,76.1,58.3,58.96,-2.0,1
Male,Black,3.8,Bachelors,1,69.5,49.6,55.24,-5.0,0
Male,White,3.8,PhD,3,57.2,61.2,54.96000000000001,0.0,0
Female,White,3.6,Masters,2,89.4,67.7,70.04,-2.0,0
Male,White,1.2,Bachelors,1,70.8,78.0,61.92,0.0,0
Male,White,4.6,HS,0,100.0,72.3,78.12,0.0,1
Female,White,3.3,HS,0,45.6,89.3,60.56,-2.0,1
Female,White,0.0,Masters,2,61.6,57.6,47.68000000000001,-2.0,0
Male,White,11.2,Bachelors,1,70.5,80.6,82.84,0.0,1
Female,White,8.3,Bachelors,1,87.1,70.6,79.68,-2.0,1
Male,White,3.9,Bachelors,1,76.0,78.3,69.52,0.0,0
Male,Hispanic,5.1,Bachelors,1,74.7,64.8,66.0,0.0,0
Female,Black,1.5,HS,0,53.1,82.9,57.400000000000006,-7.0,1
Female,White,10.1,Bachelors,1,52.6,73.5,70.64000000000001,-2.0,1
Female,White,10.7,Masters,2,74.8,61.8,76.04,-2.0,1
Female,Asian,5.5,Masters,2,49.5,69.9,58.760000000000005,-2.0,0
Female,White,8.1,Masters,2,62.0,67.1,67.84,-2.0,1
Female,White,5.5,HS,0,77.5,75.9,72.36,-2.0,0
Male,Black,1.0,Bachelors,1,55.3,55.8,46.44,-5.0,0
Female,White,3.8,Bachelors,1,94.1,69.6,73.08,-2.0,1
Male,White,5.4,Bachelors,1,88.4,74.7,76.04,0.0,0
Male,White,3.6,Masters,2,46.4,70.4,53.92,0.0,0
Male,Hispanic,4.3,Bachelors,1,56.0,86.2,65.48,0.0,1
Male,White,4.7,HS,0,35.7,79.3,55.4,0.0,0
Female,Black,4.8,Masters,2,58.3,69.9,60.88,-7.0,0
Female,Asian,5.2,PhD,3,81.5,72.6,72.04,-2.0,0
Female,White,1.8,HS,0,63.8,73.5,58.52,-2.0,0
Male,White,2.8,Bachelors,1,76.9,74.8,66.28,0.0,0
Male,White,1.1,Bachelors,1,47.2,48.1,40.32000000000001,0.0,0
Male,White,7.9,Bachelors,1,82.0,66.4,75.16000000000001,0.0,1
Male,White,0.0,Bachelors,1,61.7,52.2,45.56,0.0,0
Female,Asian,8.5,Bachelors,1,70.2,85.3,79.2,-2.0,1
Female,Black,9.2,PhD,3,68.6,69.3,73.56,-7.0,0
Female,Black,4.1,Bachelors,1,50.9,67.7,55.64,-7.0,1
Male,White,0.0,HS,0,52.7,80.8,53.400000000000006,0.0,0
Female,Hispanic,3.9,Bachelors,1,84.5,75.1,71.64,-2.0,1
Female,Asian,4.8,Bachelors,1,76.0,56.5,62.6,-2.0,0
Female,Hispanic,2.0,Masters,2,85.8,69.1,65.96000000000001,-2.0,1
Female,White,3.5,Bachelors,1,74.9,66.0,63.36000000000001,-2.0,0
Male,Black,9.6,Bachelors,1,72.1,49.1,67.68,-5.0,0
Male,White,7.0,Bachelors,1,44.1,61.7,56.32000000000001,0.0,1
Male,White,2.2,Masters,2,65.9,67.8,57.88,0.0,0
Female,White,0.2,Bachelors,1,69.6,68.6,55.68,-2.0,0
Male,Black,4.0,Masters,2,99.3,52.2,68.6,-5.0,1
Male,Black,4.4,Bachelors,1,80.3,83.8,74.44,-5.0,1
Male,White,6.5,Bachelors,1,93.0,68.8,77.72,0.0,0
Male,White,3.4,Bachelors,1,79.0,70.5,66.60000000000001,0.0,0
Female,White,6.5,Masters,2,59.3,74.8,66.64,-2.0,0
Female,White,10.8,Masters,2,71.8,60.5,74.52000000000001,-2.0,1
Male,White,7.4,Bachelors,1,73.5,75.5,74.4,0.0,1
Male,White,4.9,Bachelors,1,55.9,65.6,58.39999999999999,0.0,0
Male,Hispanic,4.5,HS,0,64.2,59.2,58.36000000000001,0.0,0
Male,White,3.9,Bachelors,1,66.9,76.9,65.32000000000001,0.0,0
Male,White,8.5,Bachelors,1,94.1,87.9,89.80000000000001,0.0,1
Male,White,3.1,Masters,2,38.8,78.7,53.2,0.0,0
Male,Asian,5.1,Masters,2,88.1,81.1,77.88000000000001,0.0,0
Female,Black,5.2,Bachelors,1,55.9,63.8,58.279999999999994,-7.0,0
Female,Black,3.5,Bachelors,1,49.4,50.8,47.08,-7.0,0
Male,White,0.9,Masters,2,87.7,87.9,72.04,0.0,0
Male,Black,6.0,Masters,2,81.0,94.7,82.28,-5.0,1
Female,White,4.8,HS,0,88.8,88.5,80.52000000000001,-2.0,0
Female,Black,6.5,Bachelors,1,82.0,66.0,72.2,-7.0,0
Female,Asian,3.4,Bachelors,1,100.0,56.1,69.24,-2.0,0
Female,Black,8.7,Bachelors,1,78.4,57.2,71.64000000000001,-7.0,1
Male,Hispanic,2.4,Bachelors,1,67.7,49.8,51.8,0.0,0
Male,Black,10.1,HS,0,75.1,68.7,77.72,-5.0,1
Female,White,0.0,Bachelors,1,88.7,89.3,71.2,-2.0,1
Male,Asian,6.3,Bachelors,1,58.3,68.3,63.24,0.0,0
Female,White,6.4,HS,0,60.2,73.6,66.32,-2.0,0
Female,White,2.6,Bachelors,1,65.4,86.5,65.96000000000001,-2.0,0
Female,White,6.3,Masters,2,38.4,65.2,54.04,-2.0,0
Male,White,8.8,Masters,2,72.1,94.4,84.20000000000002,0.0,1
Female,White,0.0,Bachelors,1,41.7,93.9,54.24000000000001,-2.0,1
Male,White,6.5,Bachelors,1,70.8,68.4,68.68,0.0,0
Female,White,0.0,PhD,3,83.0,63.1,58.440000000000005,-2.0,0
Female,Black,2.1,Bachelors,1,62.8,78.4,60.68000000000001,-7.0,0
Male,White,9.9,Bachelors,1,95.2,65.8,84.2,0.0,0
Female,White,3.3,Bachelors,1,48.1,56.1,48.28000000000001,-2.0,1
Female,Black,1.5,Bachelors,1,87.9,85.4,72.32000000000001,-7.0,1
Male,White,4.4,Bachelors,1,80.1,84.6,74.67999999999999,0.0,0
Male,Black,11.2,Masters,2,44.3,71.9,68.88000000000001,-5.0,1
Male,Black,0.0,Bachelors,1,100.0,54.8,61.92,-5.0,1
Male,Hispanic,1.8,Bachelors,1,69.0,55.2,53.28000000000001,0.0,0
Male,Black,9.5,Masters,2,56.8,71.3,70.24,-5.0,0
